X,Y,OBJECTID,AWARD_WINNER,PROJECT_DESCRIPTION,RECIPIENT,AWARD_YEAR,CATEGORY,LOCATION,COMMUNITY,LATITUDE,LONGITUDE
591631.7393,4789878.4008,68,MacNab Transit Terminal,"The new MacNab Transit Terminal between King Street West and Main Street West provides an important upgrade to the public transportation network in the City, while at the same time contributing a valuable new public urban space. The design is contemporar","DTAH, Sona Consutrction Ltd., McCormick Rankin Corporation, MMM Group",2011,Award of Merit in Healthy Communities,7 MacNab Street South,Hamilton,43.2561438,-79.8711033
599135.0306,4791774.8373,69,Branthaven Beach House,"The Branthaven Beach House development includes 36 townhouses, 16 maisonettes and four apartment units above a commercial space. This mixed-use development has a crescent street design with two entrances off Beach Boulevard. Vistas of the lake from the s","Orchard Design, IBI Group, MTE Consultants Inc.",2011,Award of Excellenec in Urban Design,"315, 337 and 351 Beach Boulevard",Hamilton,43.2722672,-79.7783417
592928.3914,4790448.2905,70,West Avenue Residences,The adaptive reuse of this former school contributes to the revitalization of the Barton West neighbourhood. The West Avenue School is a designated heritage building and is potentially the first major renovation of a Canadian heritage building to obtain,"Cynthia Zahoruk Architect Inc., Ron Kourdys Landscape Architect, Hallex Engineering Ltd.",2011,Award of Excellence in Adaptive Reuse,255 West Avenue North,Hamilton,43.2611157,-79.8550356
589174.5836,4789890.4729,71,Canmet Materials Technology Laboratory,"The three-storey, 174,300 square foot building incorporates state of-the-art industrial labs designed to foster relationships between government, academic research, and industry. The building is a showpiece of sustainable design rehabilitating a brownfie","Natural Resources Canada, Diamond & Schmitt Architects Inc., GSP Group, Ellis Don Corporation",2011,Award of Excellence in Architecture and Sustainability,183 Longwood Road South,Hamilton,43.2565472,-79.9013678
591405.3536,4789829.7514,72,Urban Sustainability 'The Edible Landscape',"Located in the forecourt of Hamilton City Hall, this project demonstrates how a municipal garden promotes healthy communities by exhibiting urban agriculture and urban sustainability through the effective use of edible plants. Since gardening, cooking, a","City of Hamilton - Public Works Department, Environmental Services Section",2011,Award of Excellence in Landscape Architecture,71 Main Street West,Hamilton,43.2557333,-79.8738999
591855.2277,4790059.9088,73,The Lister Block,"Built in 1924 by Bernard Prack and Piggott Construction, the Lister Block was once used as a thriving mall and office building but had closed in the 1990's. In 2008, the restoration and rehabilitation on the building began. A designated heritage building","Hi-Rise Group, City of Hamilton, WGD Architects Inc., Julian Smith & Associates Architects, Greenferd Construction Inc.",2011,Award of Outstanding Achievement & Excellence in Restoration,28-50 James Street North,Hamilton,43.2577507,-79.8683202
592033.3581,4789864.2312,74,The Gore Building,"In response to the growing need for downtown housing, the City of Hamilton initiated the construction of this five storey mixed-use development. It accomodates 16 residential one-bedroom units and two large commercial units located on the ground floor. T","Gradd Grguric, Architects Incorporated",2009,Honourable Mention,89 King Street East,Hamilton,43.2559673,-79.8661587
592429.3919,4789639.2106,75,Terrace on King,"This project replaced a vacant three storey building with an eleven-storey, all brick, mixed-use building accomodating two ground floor retail units, 123 resiedntial units, underground parking, second floor roof garden and a fourth floor roof terrace.","Lorne Haverty Ltd., Kathryn Vogel Architect",2009,Honourable Mention,260 King Street East,Hamilton,43.253893,-79.8613183
595829.0417,4788447.904,76,Ottawa Street Gateways,Two of these unique eight metre tall features located at the boundaries of the Ottawa Street Business Improvement Area (BIA) demarcate the facbric district. The goal of the project was  to design a gateway feature to reinforce the themes along the street,"Brooks Signs, Aluminous Lighting Product",2009,Award of Merit in Streetscaping,Between Main Street and Barton Street,Hamilton,43.2427434,-79.8196521
604550.1497,4786814.9216,77,STARRT Institute,"The Institute enables the college to deliver 35% more apprentices to the region. The project includes the creation of a new faciltiy with 88,000 square feet of state-of-the-art instructional spaces and the refurbishment and renovation of existing structu","Diamond and Schmitt Architects Inc., Read Jones Christoffersen Consulting, Engineers, MCW Consultants Ltd., The Atlas Corporation Inc.",2009,Award of Merit in Architectural Design,481 Barton Street,Stoney Creek,43.2268839,-79.7125673
594813.0955,4789528.9733,78,Prince of Wales Elementary School,An elementary school located in the heart of East Hamilton. This new building replaces an older three-storey building with a state-of-the-art facility and up-to-date class amenities. The three-storey mass with large expanses of glass windows to permit na,"Ventin Group Limited Architects, Wendy Shearer Landscape Architect, Truax Engineering, Bondfield Construction",2009,Award of Merit in Urban Design,77 Melrose Avenue North,Hamilton,43.2526045,-79.8319772
585126.3106,4791551.6122,79,Dundas Driving Park,"An historical feature of downtown Dundas which was initially used as a horse-racing track, the ring road still has the quality of the former racing oval. The project included new washrooms, a bandshel, performance stage, Zamboni storage building, artific","DuToit Allsopp Hillier, Lintack Architects Inc., PMA Landscape Engineering Ltd., MTE Consultants Inc., Finelli Engineering Ltd., Corporate Construction",2009,Award of Excellence in Healthy Communities,Between Park Street East and Sydenham Road,Dundas,43.2719708,-79.9509774
586509.7062,4789873.1034,80,West Village Suites,"This building serves as a student resiednce featuring 449 student bedroom units, a fitness studio, common rooms and much more. This building achieved LEED Platinum status. The building's many environmental features include solar power, smart meters, refl","Lintack Architects Incorporated, IBI Group, Emcad Consulting Engineers Inc., Tacoma Engineers, Dundurn Edge Developments Inc.",2009,Award of Excellence in Sustainable Design,1685 Main Street West,Hamilton,43.2567014,-79.9341962
582986.1475,4786214.3465,81,Ancaster Carriage Works,The overall theme of this project was desinged to be sympathetic to the village character of Ancaster. A clustering of the buildings allows interaction between eachother around a central open space reinforcing village appeal and creating a dynamic arrang,"Kaj Devai Architect, Fothergill Planning and Development Inc., A.E. Bowler Associates",2009,Award of Excellence in Contextual Architecture,231-253 Wilson Street East,Ancaster,43.2241568,-79.9781504
596515.6512,4782830.6966,82,Heritage Greene Mixed Use Development,"Heritage Greene is a 21-hectare, mixed-use develpoment, which includes retail, entertainment, service, restaurant, residential and office space. It is recognized for its enhanced streetscaping featuring the City of Hamilton's Urban Braille system, pedest","Sam Esposto Architect Inc., Almost There Inc., G. O'Connor Consultants Inc., Urbex Engineering Limited, MTE Consultants Inc., D&D Contracting, Oakridge Landscape Contractors Ltd.",2009,"Award of Excellence in Community Design, People's Choice Award",1875 Stone Church Road East,Stoney Creek,43.1920852,-79.8121789
587720.7491,4790095.8909,83,Engineering Technology Building,"The 125,00 square foot state of the art building supports the Faculty of Engineering expansion into emerging areas of research and study. The building is home to the first-year engineering prgroam of McMaster-Mohawk Bachelor of Technology Partnership. It","Vermeulen Hind Architects Inc., Fleisher Ridout Partnership Inc., Halcrow Yolles, Vanderwesten Rutherford Mantecon Inc., Enermodal Engineering, Bird Construction Company",2009,Award of Excellence in Architectural Design,1280 Main Street West,Hamilton,43.2585672,-79.9192432
591080.5214,4790121.4532,84,The Gown and Gavel Pub,"The project aimed to create an upscale, modern entertainment complex that preserved and enhanced the heritage character of both buildings while providing a contemporary English-style pub experience. A kitchen and washroom was built to link the two buildi","TCA/Thier Curran Architects, Copa Engineering Ltd., Wintek Engineering Ltd., Hllex Engineering Ltd., Aldershot Landscape Contractors Ltd.",2009,Award of Excellence in Urban Design,24 Hess Street South,Hamilton,43.2583988,-79.8778528
589231.3005,4789916.8543,85,McMaster Innovation Park,"The new Innovation Park for McMaster University provides a framework to facilitate and accelerate the transfer and commercialization of university, government and allied industry research to the marketplace. The vision for this project was to build the p","Lintack Architects Incorporated, Webb Planning Consultants Inc., G. O'Connor Consultants Inc., Sandwell Consulting Engineers Ltd., A.J. Clarke and Associates Ltd., Ira McDonald Consutrction Ltd.",2009,Award of Excellence in Overall Design and Adaptive Reuse,175 Hess Street South,Hamilton,43.256778,-79.9006649
591976.7816,4790547.4424,86,The James North Art Crawl,"On the second Friday evening of every month this event programs the historic James Street North streetscape from Murray to King Street with an eclectic array of gallery openings, performances and outdoor art reflective of the emerging arts community in t",The Gallery and Studies of the James North Community,2007,Award of Merit for Visionary Project,James Street North between Murray and King Streets,Hamilton,43.2621251,-79.8667415
599503.5619,4789665.2367,87,Woodward Environmental Laboratory,"A new 2,400 square metre laboratory facility where municipal water and waste water is tested and the monitoring of the existing adjacent wastewater treatment plant is conducted. The facility is one of the first truly sustainable laboratories in Ontario a","McCallum Sather Architects Inc., Wendy Shearer Landscape Architect Limited, Vanderwestern and Rutherford Associates Inc., Aquicon Construction Company Limited",2007,Award of Merit for Architecture,700 Woodward Avenue,Hamilton,43.2532267,-79.7741824
590969.1824,4790028.0898,88,Southwest Crossings ,"The development involves the incremental renovation and adaptive re-use of a series of circa 1890 former residential buildings at the corner of Queen and Main Streets, a prominent site at the entrance to downtown Hamilton.","Brownswharf Development Corporation, Southwest Crossings Limited, Pocrnic Realty Advisors Incorporated, SLV Designs Limited, Connon Nurseries",2007,Award of Merit for Adaptive Reuse,"231 Main Street West, 67 and 69 Queen Street South",Hamilton,43.2575717,-79.8792397
585535.5452,4785488.6266,89,Landscapes of Ancaster,This is a fifty three unit townhouse development on a greenfield site in the heart of the residential section of the new Meadowlands neighbourhood in Ancaster.,"McCallum Sather Architects Inc., Johnes Khes Planning Solution, Seferian Design Group Limited",2007,Award of Merit for Overall Design,Stonehenge Drive,Ancaster,43.2173383,-79.946876
587817.9373,4790175.6101,90,McMaster University Faculty of Health Science Library,The project is a renovation of and addition to the McMaster University Medical Centre Health Sciences Library to accommodate a renewed and expanded library. The new addition to the building is a two-storey reading room and an exterior landscaped plaza th,"McCallum Sather Architects Inc., GSP Group, Yolles, Group Eight Engineering Limited, Dineen Construction Corporation",2007,Award of Excellence in Architecture,1200 Main Street West,Hamilton,43.2592736,-79.9180333
594134.8458,4783148.9112,91,Stone Church Family Health Centre,"This design transformed a former insurance company vehicle inspection and claims centre into a community health clinic. The design team used new landscaping areas reclaimed from the parking area, new windows and sustainable design features to create a pe","TCA/Thier Curran Architects, PMA Landscape Architects, Kenneth Youngs Engineering, S.P Design, COPA Engineering, Wintek BSD Incorporated, TRP Construction General Contractors, STF Construction",2007,Award of Excellence in Adaptive Reuse,1475 Upper Ottawa Street,Hamilton,43.1952505,-79.8414194
591957.1875,4790868.8839,92,The MacNab Terrace,"The project involved the façade restoration and renovation of the two centre units of the six unit MacNab Terrace, a heritage property, designated under the Ontario Heritage Act, that was constructed in 1879 by local architect James Balfour. Through a s","John Mokrycke Architect, Lets Landscape Together Incorporated, Field Consultants Limited, Assyrian Star Construction, Dave Thompson, Langton Mechanical",2007,Award of Excellence in Heritage Conservation,256-258 MacNab Street North,Hamilton,43.2650214,-79.8669292
596320.3694,4790161.8446,93,East Kiwanis Place,"A small urban plaza located on a prominent corner at the heart of the Ottawa Street Business Improvement Area. Once an empty lot resulting from a tragic fire, the East Kiwanis, the Local BIA and City of Hamilton collaberated to create a public space whic","City of Hamilton- Public Works Department, Open Space Development and Park Planning Section, The Kiwanis Club of Greater Hamilton, The Ottawa Street Business Improvement Area, City of Hamilton Downtow",2007,Award of Excellence in Landscape Architecture,263 Ottawa Street North,Hamilton,43.258111,-79.813302
584515.2273,4787351.4166,94,The Tick Residence,"The project is a 3,100 square foot detached home on a corner lot backing onto escarpment land in a new subdivision in Ancaster. This innovative project employs many principles of sustainable design in both architectural and site design. The bold modern s","Jennifer Turner Architect, David Machiulis, Blackwell Bowick Partnership, Thomas Cochren Homes",2005,Award of Merit in Excellence in Overall Design,,Ancaster,43.2342244,-79.9591509
590542.5916,4791350.4245,95,Dundurn National Historic Site Landscape Conservation Master Plan and Implementation,The project involves the resotration of the landcsape of Dundurn National Historic Site to reflect its original picturesque landscape dating from the early 1860's The 32 acre site consists of part of the original grounds of the 1832 Dundurn Castle and ha,"Wendy Shearer Landscape Architect Limited, McCallum Sather Architects Inc., MJS Consultants, Peninsula Construcction",2005,Award of Merit in Excellence in Heritage Conservation,,Hamilton,43.269528,-79.884277
591911.2862,4790148.4727,96,The Annex,Conversion of a circa 1930 warehouse building that had been abandoned in the early 1990's to a forty unit condomonium with street related commercial. The project is located in the historic core of downtown Hamilton.,"Lintack Architects Inc., El-Hamzawi Engineering Ltd., Planning and Engineering Initiatives Ltd., Lee Yung & Associates Inc., Demik Construction Ltd.",2005,"Award of Merit in Excellence in Landscape Architecture, Award of Merit in Excellence in Adaptive Reuse",118 James Street North,Hamilton,43.2585412,-79.8676149
592362.0956,4789647.5247,97,Ferguson Station,The project is an open space on a corner site at the centre of the International Village Business Improvement Area. It provides for passive recreational use and serves as a venue for special community events and festivals. The project includes a pavillio,"City of Hamilton - Public Works Department, Open Space Development and Park Planning, R.F. Lintach Architect Inc.. Lee Yung and Associates, Corporate Construction Inc.",2005,Award of Merit in Excellence in Landscape Architecture,Ferguson Avenue,Hamilton,43.2539761,-79.8621458
591714.4292,4789779.0506,98,The GOWLINGS Building Former Bank of Montreal,This project involves construction of new offices for the legal firm GOWLINGS in the historic 1929 Beaux-Arts style former Bank of Montreal building. The building is designated under the Ontario Heritage Act and is located at the corner of Main and James,"Melillo Architects Inc. , Yolles Group Engineering Ltd., BK Consulting, Karp Namisniak Yamamoto Architects Inc., Ira McDonald Construction Ltd.",2005,Award of Merit in Excellence in Heritage Conservation,1 Main Street West,Hamilton,43.2552393,-79.8701013
591517.3657,4789987.399,99,The Art Gallery of Hamilton Renewal,"Alterations and additions to the 1970's era Art Gallery building to provide more income generating space, resolve building envelope concerns and improve the presence of the building in the city.","Kuwabara Payne McKenna Blumbering Architects Inc., Yolles Partnership Inc., Smith & Anderson Consulting Engineers, Carinci Burt Rogers Engineering, Haisall Associates Ltd., PCL Constructors Canada Inc",2005,Award of Merit in Excellence in Architectural Design,123 King Street West,Hamilton,43.257139,-79.872494
591450.1973,4790381.1202,100,The Hamilton Energy Centre,"This facility houses a cogeneration plant which captures excess heat from electricity generation and distributes it to downtown buildings for heating. It is located on a prominent corner in the downtown, adjacent to a high school.","Lintack Architects Inc., G. O'Connor Consultants Inc., FVB Energy Inc., Millenium Engineering Ltd., Planning and Engineering Initiatives Ltd., Bestco Construction",2005,Award of Merit in Excellence in Overall Design,1447 Upper Ottawa St,Hamilton,43.2606918,-79.873256
